track_name,artist_name,valence_%,energy_%,danceability_%,acousticness_%,instrumentalness_%,cover_url,mood
Seven (feat. Latto) (Explicit Ver.),"Latto, Jung Kook",0.89,0.83,0.8,0.31,0.0,Not Found,happy
LALA,Myke Towers,0.61,0.74,0.71,0.07,0.0,https://i.scdn.co/image/ab67616d0000b2730656d5ce813ca3cc4b677e05,neutral
vampire,Olivia Rodrigo,0.32,0.53,0.51,0.17,0.0,https://i.scdn.co/image/ab67616d0000b273e85259a1cae29a8d91f2093d,neutral
Cruel Summer,Taylor Swift,0.58,0.72,0.55,0.11,0.0,https://i.scdn.co/image/ab67616d0000b273e787cffec20aa2a396a61647,neutral
WHERE SHE GOES,Bad Bunny,0.23,0.8,0.65,0.14,0.63,https://i.scdn.co/image/ab67616d0000b273ab5c9cd818ad6ed3e9b79cd1,angry
Sprinter,"Dave, Central Cee",0.66,0.58,0.92,0.19,0.0,https://i.scdn.co/image/ab67616d0000b273e3a09a9ae3f1fa102c110e60,neutral
Ella Baila Sola,"Eslabon Armado, Peso Pluma",0.83,0.76,0.67,0.48,0.0,https://i.scdn.co/image/ab67616d0000b2732071a0c79802d9375a53bfef,happy
Columbia,Quevedo,0.26,0.71,0.67,0.37,0.0,https://i.scdn.co/image/ab67616d0000b273a00a817b017c6f6bf8460be9,angry
fukumean,Gunna,0.22,0.62,0.85,0.12,0.0,https://i.scdn.co/image/ab67616d0000b273017d5e26552345c4b1575b6c,neutral
La Bebe - Remix,"Peso Pluma, Yng Lvcas",0.56,0.48,0.81,0.21,0.0,Not Found,neutral
un x100to,"Bad Bunny, Grupo Frontera",0.56,0.72,0.57,0.23,0.0,Not Found,neutral
Super Shy,NewJeans,0.52,0.82,0.78,0.18,0.0,https://i.scdn.co/image/ab67616d0000b2733d98a0ae7c78a3a9babaf8af,neutral
Flowers,Miley Cyrus,0.65,0.68,0.71,0.06,0.0,https://i.scdn.co/image/ab67616d0000b27358039b5147731b6e52202e46,neutral
Daylight,David Kushner,0.32,0.43,0.51,0.83,0.0,https://i.scdn.co/image/ab67616d0000b27395ca6a9b4083a86c149934ae,neutral
As It Was,Harry Styles,0.66,0.73,0.52,0.34,0.0,https://i.scdn.co/image/ab67616d0000b2732e8ed79e177ff6011076f5f0,neutral
Kill Bill,SZA,0.43,0.73,0.64,0.05,0.17,https://i.scdn.co/image/ab67616d0000b2730c471c36970b9406233842a5,angry
Cupid - Twin Ver.,Fifty Fifty,0.76,0.59,0.78,0.43,0.0,https://i.scdn.co/image/ab67616d0000b27337c0b3670236c067c8e8bbcb,neutral
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,0.14,0.09,0.44,0.96,0.0,Not Found,sad
Classy 101,"Feid, Young Miko",0.67,0.66,0.86,0.14,0.0,https://i.scdn.co/image/ab67616d0000b27329ebee2b5fb008871fcd201a,neutral
Like Crazy,Jimin,0.36,0.73,0.63,0.0,0.0,https://i.scdn.co/image/ab67616d0000b2732b46078245d0120690eb560d,angry
LADY GAGA,"Gabito Ballesteros, Junior H, Peso Pluma",0.87,0.74,0.65,0.22,0.0,Not Found,happy
I Can See You (Taylorï¿½ï¿½ï¿½s Version) (From The ,Taylor Swift,0.82,0.76,0.69,0.06,0.0,Not Found,happy
I Wanna Be Yours,Arctic Monkeys,0.44,0.42,0.48,0.12,0.02,https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163,neutral
"Peso Pluma: Bzrp Music Sessions, Vol. 55","Bizarrap, Peso Pluma",0.81,0.67,0.85,0.26,0.0,https://i.scdn.co/image/ab67616d0000b27315583045b2fdb7d7bab10e81,neutral
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),"The Weeknd, Madonna, Playboi Carti",0.83,0.68,0.85,0.07,0.0,https://i.scdn.co/image/ab67616d0000b2734c8f092adc59b4bf4212389d,neutral
